category,job,characters,movie,person
actor,\N,"[""Big Jim McKay""]",The Gold Rush,Mack Swain
actor,\N,"[""Black Larsen""]",The Gold Rush,Tom Murray
director,\N,\N,The Gold Rush,Charles Chaplin
writer,written by,\N,The Gold Rush,Charles Chaplin
actor,\N,"[""McTeague""]",Greed,Gibson Gowland
actress,\N,"[""Trina""]",Greed,Zasu Pitts
actor,\N,"[""Marcus""]",Greed,Jean Hersholt
director,director,\N,Greed,Erich von Stroheim
writer,screen adaptation by,\N,Greed,June Mathis
actor,\N,"[""The Phantom""]",The Phantom of the Opera,Lon Chaney
actress,\N,"[""Christine Daae""]",The Phantom of the Opera,Mary Philbin
actor,\N,"[""Vicomte Raoul de Chagny""]",The Phantom of the Opera,Norman Kerry
director,\N,\N,The Phantom of the Opera,Rupert Julian
writer,from the 1910 celebrated novel by,\N,The Phantom of the Opera,Gaston Leroux
actor,\N,"[""James Shannon""]",Seven Chances,Buster Keaton
actress,\N,"[""His Girl""]",Seven Chances,Ruth Dwyer
actor,\N,"[""His Partner""]",Seven Chances,T. Roy Barnes
director,\N,\N,Seven Chances,Buster Keaton
writer,adapted from David Belasco's famous comedy by,\N,Seven Chances,Roi Cooper Megrue
actor,\N,"[""Faust""]",Faust: Eine deutsche Volkssage,Gösta Ekman
actor,\N,"[""Mephisto""]",Faust: Eine deutsche Volkssage,Emil Jannings
actress,\N,"[""Gretchen""]",Faust: Eine deutsche Volkssage,Camilla Horn
director,\N,\N,Faust: Eine deutsche Volkssage,F.W. Murnau
writer,titles,\N,Faust: Eine deutsche Volkssage,Gerhart Hauptmann
actress,\N,"[""Daisy - A Mannequin""]",The Lodger: A Story of the London Fog,June Tripp
actor,\N,"[""The Lodger""]",The Lodger: A Story of the London Fog,Ivor Novello
actress,\N,"[""The Landlady""]",The Lodger: A Story of the London Fog,Marie Ault
director,\N,\N,The Lodger: A Story of the London Fog,Alfred Hitchcock
writer,from the novel by,\N,The Lodger: A Story of the London Fog,Marie Belloc Lowndes
actress,\N,"[""Maria""]",Metropolis,Brigitte Helm
actress,\N,"[""Maschinenmensch""]",Metropolis,Brigitte Helm
actress,\N,"[""The Machine Man""]",Metropolis,Brigitte Helm
director,\N,\N,Metropolis,Fritz Lang
writer,screenplay,\N,Metropolis,Thea von Harbou
actor,\N,"[""Johnnie Gray""]",The General,Buster Keaton
actress,\N,"[""Annabelle Lee""]",The General,Marion Mack
actor,\N,"[""Captain Anderson""]",The General,Glen Cavender
director,\N,\N,The General,Clyde Bruckman
writer,written by,\N,The General,Buster Keaton
actor,\N,"[""The Man""]",Sunrise: A Song of Two Humans,George O'Brien
actress,\N,"[""The Wife""]",Sunrise: A Song of Two Humans,Janet Gaynor
actress,\N,"[""The Woman From the City""]",Sunrise: A Song of Two Humans,Margaret Livingston
director,\N,\N,Sunrise: A Song of Two Humans,F.W. Murnau
writer,scenario,\N,Sunrise: A Song of Two Humans,Carl Mayer
actress,\N,"[""Mary Preston""]",Wings,Clara Bow
actor,\N,"[""Jack Powell""]",Wings,Charles 'Buddy' Rogers
actor,\N,"[""David Armstrong""]",Wings,Richard Arlen
director,\N,\N,Wings,William A. Wellman
writer,story,\N,Wings,John Monk Saunders
actress,\N,"[""Lulu""]",Die Büchse der Pandora,Louise Brooks
actor,\N,"[""Dr. Ludwig Schön""]",Die Büchse der Pandora,Fritz Kortner
actor,\N,"[""Alwa Schön""]",Die Büchse der Pandora,Francis Lederer
director,\N,\N,Die Büchse der Pandora,Georg Wilhelm Pabst
writer,"plays ""Erdgeist"" and ""Die Büchse der Pandora""",\N,Die Büchse der Pandora,Frank Wedekind
actor,\N,"[""Buster""]",The Cameraman,Buster Keaton
actress,\N,"[""Sally""]",The Cameraman,Marceline Day
actor,\N,"[""Stagg""]",The Cameraman,Harold Goodwin
director,\N,\N,The Cameraman,Edward Sedgwick
writer,story by,\N,The Cameraman,Clyde Bruckman
actor,\N,"[""A Tramp""]",The Circus,Charles Chaplin
actress,\N,"[""The Proprietor's Step-Daughter Merna - A Circus Rider""]",The Circus,Merna Kennedy
actor,\N,"[""The Circus Proprietor and Ring Master""]",The Circus,Al Ernest Garcia
director,director,\N,The Circus,Charles Chaplin
writer,written by,\N,The Circus,Charles Chaplin
actress,\N,"[""Jeanne d'Arc""]",La passion de Jeanne d'Arc,Maria Falconetti
actor,\N,"[""Évêque Pierre Cauchon (Bishop Pierre Cauchon)""]",La passion de Jeanne d'Arc,Eugene Silvain
actor,\N,"[""Jean d'Estivet""]",La passion de Jeanne d'Arc,André Berley
director,director,\N,La passion de Jeanne d'Arc,Carl Theodor Dreyer
writer,writer,\N,La passion de Jeanne d'Arc,Joseph Delteil
actor,\N,"[""William Canfield Jr.""]","Steamboat Bill, Jr.",Buster Keaton
actor,\N,"[""J.J. King""]","Steamboat Bill, Jr.",Tom McGuire
actor,\N,"[""William 'Steamboat Bill' Canfield""]","Steamboat Bill, Jr.",Ernest Torrence
director,director,\N,"Steamboat Bill, Jr.",Charles Reisner
writer,story,\N,"Steamboat Bill, Jr.",Carl Harbaugh
actor,\N,"[""The Cameraman""]",Chelovek s kino-apparatom,Mikhail Kaufman
actress,\N,"[""Woman editing film""]",Chelovek s kino-apparatom,Elizaveta Svilova
director,\N,\N,Chelovek s kino-apparatom,Dziga Vertov
writer,scenario,\N,Chelovek s kino-apparatom,Dziga Vertov
actor,\N,"[""Paul""]",All Quiet on the Western Front,Lew Ayres
actor,\N,"[""Kat""]",All Quiet on the Western Front,Louis Wolheim
actor,\N,"[""Himmelstoss""]",All Quiet on the Western Front,John Wray
director,\N,\N,All Quiet on the Western Front,Lewis Milestone
writer,novel,\N,All Quiet on the Western Front,Erich Maria Remarque
actor,\N,"[""Captain Geoffrey T. Spaulding""]",Animal Crackers,Groucho Marx
actor,\N,"[""The Professor""]",Animal Crackers,Harpo Marx
actor,\N,"[""Signor Emanuel Ravelli""]",Animal Crackers,Chico Marx
director,\N,\N,Animal Crackers,Victor Heerman
writer,based on the musical play by,\N,Animal Crackers,George S. Kaufman
actor,\N,"[""Professor Immanuel Rath""]",Der blaue Engel,Emil Jannings
actress,\N,"[""Lola Lola""]",Der blaue Engel,Marlene Dietrich
actor,\N,"[""Kiepert, Zauberkünstler""]",Der blaue Engel,Kurt Gerron
director,director,\N,Der blaue Engel,Josef von Sternberg
writer,adapted from the novel by,\N,Der blaue Engel,Heinrich Mann
actor,\N,"[""Caesar Enrico 'Rico' Bandello""]",Little Caesar,Edward G. Robinson
actor,\N,"[""'Little Caesar'""]",Little Caesar,Edward G. Robinson
actor,\N,"[""Joe Massara""]",Little Caesar,Douglas Fairbanks Jr.
director,\N,\N,Little Caesar,Mervyn LeRoy
writer,novel,\N,Little Caesar,W.R. Burnett
actor,\N,"[""The Man""]",L'Âge d'or,Gaston Modot
actress,\N,"[""The Woman""]",L'Âge d'or,Lya Lys
actress,\N,"[""Marquise' Chambermaid""]",L'Âge d'or,Caridad de Laberdesque
director,\N,\N,L'Âge d'or,Luis Buñuel
writer,scenario,\N,L'Âge d'or,Luis Buñuel
actor,\N,"[""A Tramp""]",City Lights,Charles Chaplin
actress,\N,"[""A Blind Girl""]",City Lights,Virginia Cherrill
actress,\N,"[""The Blind Girl's Grandmother""]",City Lights,Florence Lee
director,\N,\N,City Lights,Charles Chaplin
writer,written by,\N,City Lights,Charles Chaplin
actor,\N,"[""Count Dracula""]",Dracula,Bela Lugosi
actress,\N,"[""Mina""]",Dracula,Helen Chandler
actor,\N,"[""John Harker""]",Dracula,David Manners
director,\N,\N,Dracula,Tod Browning
writer,by,\N,Dracula,Bram Stoker
actor,\N,"[""Henry Frankenstein""]",Frankenstein,Colin Clive
actress,\N,"[""Elizabeth""]",Frankenstein,Mae Clarke
actor,\N,"[""The Monster""]",Frankenstein,Boris Karloff
director,\N,\N,Frankenstein,James Whale
writer,based upon the composition by,\N,Frankenstein,John L. Balderston
actor,\N,"[""Hans Beckert""]",M - Eine Stadt sucht einen Mörder,Peter Lorre
actress,\N,"[""Frau Beckmann""]",M - Eine Stadt sucht einen Mörder,Ellen Widmann
actress,\N,"[""Elsie Beckmann""]",M - Eine Stadt sucht einen Mörder,Inge Landgut
director,\N,\N,M - Eine Stadt sucht einen Mörder,Fritz Lang
writer,script,\N,M - Eine Stadt sucht einen Mörder,Thea von Harbou
actor,\N,"[""Groucho""]",Monkey Business,Groucho Marx
actor,\N,"[""Harpo""]",Monkey Business,Harpo Marx
actor,\N,"[""The Four Stowaways""]",Monkey Business,The Marx Brothers
director,director,\N,Monkey Business,Norman Z. McLeod
writer,by,\N,Monkey Business,S.J. Perelman
actor,\N,"[""Tom Powers""]",The Public Enemy,James Cagney
actress,\N,"[""Gwen Allen""]",The Public Enemy,Jean Harlow
actor,\N,"[""Matt Doyle""]",The Public Enemy,Edward Woods
director,\N,\N,The Public Enemy,William A. Wellman
writer,by,\N,The Public Enemy,Kubec Glasmon
actor,\N,"[""Dr. Henry Jekyll""]",Dr. Jekyll and Mr. Hyde,Fredric March
actor,\N,"[""Mr. Hyde""]",Dr. Jekyll and Mr. Hyde,Fredric March
actress,\N,"[""Ivy Pearson""]",Dr. Jekyll and Mr. Hyde,Miriam Hopkins
director,\N,\N,Dr. Jekyll and Mr. Hyde,Rouben Mamoulian
writer,screen play,\N,Dr. Jekyll and Mr. Hyde,Samuel Hoffenstein
actor,\N,"[""Phroso""]",Freaks,Wallace Ford
actress,\N,"[""Venus""]",Freaks,Leila Hyams
actress,\N,"[""Cleopatra""]",Freaks,Olga Baclanova
director,\N,\N,Freaks,Tod Browning
writer,"suggested by story: ""Spurs""",\N,Freaks,Clarence Aaron 'Tod' Robbins
actress,\N,"[""Grusinskaya""]",Grand Hotel,Greta Garbo
actor,\N,"[""Baron Felix von Geigern""]",Grand Hotel,John Barrymore
actress,\N,"[""Flaemmchen""]",Grand Hotel,Joan Crawford
director,\N,\N,Grand Hotel,Edmund Goulding
writer,by: novel,\N,Grand Hotel,Vicki Baum
actor,\N,"[""Professor Quincy Adams Wagstaff""]",Horse Feathers,Groucho Marx
actor,\N,"[""Baravelli""]",Horse Feathers,Chico Marx
actor,\N,"[""Pinky""]",Horse Feathers,Harpo Marx
director,director,\N,Horse Feathers,Norman Z. McLeod
writer,by,\N,Horse Feathers,Bert Kalmar
actor,\N,"[""James Allen""]",I Am a Fugitive from a Chain Gang,Paul Muni
actress,\N,"[""Marie""]",I Am a Fugitive from a Chain Gang,Glenda Farrell
actress,\N,"[""Helen""]",I Am a Fugitive from a Chain Gang,Helen Vinson
director,\N,\N,I Am a Fugitive from a Chain Gang,Mervyn LeRoy
writer,by,\N,I Am a Fugitive from a Chain Gang,Robert E. Burns
actor,\N,"[""Bob""]",The Most Dangerous Game,Joel McCrea
actress,\N,"[""Eve""]",The Most Dangerous Game,Fay Wray
actor,\N,"[""Count Zaroff""]",The Most Dangerous Game,Leslie Banks
director,\N,\N,The Most Dangerous Game,Irving Pichel
writer,screen play,\N,The Most Dangerous Game,James Ashmore Creelman
actor,\N,"[""Tony""]",Scarface,Paul Muni
actress,\N,"[""Cesca""]",Scarface,Ann Dvorak
actress,\N,"[""Poppy""]",Scarface,Karen Morley
director,\N,\N,Scarface,Howard Hawks
writer,from the book by,\N,Scarface,Armitage Trail
actress,\N,"[""Shanghai Lily""]",Shanghai Express,Marlene Dietrich
actor,\N,"[""Captain Donald Harvey""]",Shanghai Express,Clive Brook
actress,\N,"[""Hui Fei""]",Shanghai Express,Anna May Wong
director,\N,\N,Shanghai Express,Josef von Sternberg
writer,screen play,\N,Shanghai Express,Jules Furthman
actor,\N,"[""Dr. Mabuse""]",Das Testament des Dr. Mabuse,Rudolf Klein-Rogge
actor,\N,"[""Inspector Karl Lohmann""]",Das Testament des Dr. Mabuse,Otto Wernicke
actor,\N,"[""Professeur Baum""]",Das Testament des Dr. Mabuse,Thomy Bourdelle
director,\N,\N,Das Testament des Dr. Mabuse,Fritz Lang
writer,characters,\N,Das Testament des Dr. Mabuse,Norbert Jacques
actress,\N,"[""Lily""]",Trouble in Paradise,Miriam Hopkins
actress,\N,"[""Mariette Colet""]",Trouble in Paradise,Kay Francis
actor,\N,"[""Gaston Monescu""]",Trouble in Paradise,Herbert Marshall
director,\N,\N,Trouble in Paradise,Ernst Lubitsch
writer,screen play,\N,Trouble in Paradise,Samson Raphaelson
actor,\N,"[""Allan Grey""]",Vampyr,Julian West
actor,\N,"[""Der Schlossherr (The Lord of the Manor)""]",Vampyr,Maurice Schutz
actress,\N,"[""Gisèle""]",Vampyr,Rena Mandel
director,director,\N,Vampyr,Carl Theodor Dreyer
writer,based on a book by,\N,Vampyr,Sheridan Le Fanu
actor,\N,"[""Rufus T. Firefly""]",Duck Soup,Groucho Marx
actor,\N,"[""Pinky""]",Duck Soup,Harpo Marx
actor,\N,"[""Chicolini""]",Duck Soup,Chico Marx
director,\N,\N,Duck Soup,Leo McCarey
writer,story,\N,Duck Soup,Bert Kalmar
actor,\N,"[""Julian Marsh""]",42nd Street,Warner Baxter
actress,\N,"[""Dorothy Brock""]",42nd Street,Bebe Daniels
actor,\N,"[""Pat Denning""]",42nd Street,George Brent
director,\N,\N,42nd Street,Lloyd Bacon
writer,screen play,\N,42nd Street,Rian James
actor,\N,"[""Dr. Jack Griffin aka The Invisible Man""]",The Invisible Man,Claude Rains
actress,\N,"[""Flora Cranley""]",The Invisible Man,Gloria Stuart
actor,\N,"[""Dr. Arthur Kemp""]",The Invisible Man,William Harrigan
director,director,\N,The Invisible Man,James Whale
writer,novel,\N,The Invisible Man,H.G. Wells
actor,\N,"[""Dr. Moreau""]",Island of Lost Souls,Charles Laughton
actor,\N,"[""Sayer of the Law""]",Island of Lost Souls,Bela Lugosi
actor,\N,"[""Edward Parker""]",Island of Lost Souls,Richard Arlen
director,\N,\N,Island of Lost Souls,Erle C. Kenton
writer,screen play,\N,Island of Lost Souls,Waldemar Young
actress,\N,"[""Ann Darrow""]",King Kong,Fay Wray
actor,\N,"[""Carl Denham""]",King Kong,Robert Armstrong
actor,\N,"[""Jack Driscoll""]",King Kong,Bruce Cabot
writer,screen play,\N,King Kong,James Ashmore Creelman
actress,\N,"[""Juliette""]",L'Atalante,Dita Parlo
actor,\N,"[""Jean""]",L'Atalante,Jean Dasté
actor,\N,"[""Le camelot (peddler)""]",L'Atalante,Gilles Margaritis
director,\N,\N,L'Atalante,Jean Vigo
writer,scenario,\N,L'Atalante,Jean Guinée
actor,\N,"[""Peter Warne""]",It Happened One Night,Clark Gable
actress,\N,"[""Ellie Andrews""]",It Happened One Night,Claudette Colbert
actor,\N,"[""Alexander Andrews""]",It Happened One Night,Walter Connolly
director,\N,\N,It Happened One Night,Frank Capra
writer,screen play,\N,It Happened One Night,Robert Riskin
actor,\N,"[""Nick Charles""]",The Thin Man,William Powell
actress,\N,"[""Nora Charles""]",The Thin Man,Myrna Loy
actress,\N,"[""Dorothy Wynant""]",The Thin Man,Maureen O'Sullivan
director,\N,\N,The Thin Man,W.S. Van Dyke
writer,screen play,\N,The Thin Man,Albert Hackett
director,\N,\N,Triumph des Willens,Leni Riefenstahl
writer,\N,\N,Triumph des Willens,Leni Riefenstahl
actor,\N,"[""Hannay""]",The 39 Steps,Robert Donat
actress,\N,"[""Pamela""]",The 39 Steps,Madeleine Carroll
actress,\N,"[""Miss Smith""]",The 39 Steps,Lucie Mannheim
director,\N,\N,The 39 Steps,Alfred Hitchcock
writer,adapted from the novel by,\N,The 39 Steps,John Buchan
actor,\N,"[""The Monster""]",The Bride of Frankenstein,Boris Karloff
actress,\N,"[""Mary Wollstonecraft Shelley""]",The Bride of Frankenstein,Elsa Lanchester
actress,\N,"[""The Monster's Mate""]",The Bride of Frankenstein,Elsa Lanchester
director,\N,\N,The Bride of Frankenstein,James Whale
writer,suggested by: the original story written in 1816 by,\N,The Bride of Frankenstein,Mary Shelley
actor,\N,"[""Peter Blood""]",Captain Blood,Errol Flynn
actress,\N,"[""Arabella Bishop""]",Captain Blood,Olivia de Havilland
actor,\N,"[""Colonel Bishop""]",Captain Blood,Lionel Atwill
director,\N,\N,Captain Blood,Michael Curtiz
writer,based on novel by,\N,Captain Blood,Rafael Sabatini
actor,\N,"[""Captain Bligh""]",Mutiny on the Bounty,Charles Laughton
actor,\N,"[""Fletcher Christian""]",Mutiny on the Bounty,Clark Gable
actor,\N,"[""Roger Byam""]",Mutiny on the Bounty,Franchot Tone
director,\N,\N,Mutiny on the Bounty,Frank Lloyd
writer,screenplay,\N,Mutiny on the Bounty,Talbot Jennings
actor,\N,"[""Otis B. Driftwood""]",A Night at the Opera,Groucho Marx
actor,\N,"[""Fiorello""]",A Night at the Opera,Chico Marx
actor,\N,"[""Tomasso""]",A Night at the Opera,Harpo Marx
director,\N,\N,A Night at the Opera,Sam Wood
writer,screen play,\N,A Night at the Opera,George S. Kaufman
actor,\N,"[""Jerry Travers""]",Top Hat,Fred Astaire
actress,\N,"[""Dale Tremont""]",Top Hat,Ginger Rogers
actor,\N,"[""Horace Hardwick""]",Top Hat,Edward Everett Horton
director,\N,\N,Top Hat,Mark Sandrich
writer,screen play,\N,Top Hat,Dwight Taylor
actor,\N,"[""Nick Charles""]",After the Thin Man,William Powell
actress,\N,"[""Nora Charles""]",After the Thin Man,Myrna Loy
actor,\N,"[""David Graham""]",After the Thin Man,James Stewart
director,\N,\N,After the Thin Man,W.S. Van Dyke
writer,screen play,\N,After the Thin Man,Frances Goodrich
actor,\N,"[""Sam Dodsworth""]",Dodsworth,Walter Huston
actress,\N,"[""Fran Dodsworth""]",Dodsworth,Ruth Chatterton
actor,\N,"[""Arnold Iselin""]",Dodsworth,Paul Lukas
director,\N,\N,Dodsworth,William Wyler
writer,based upon the novel by,\N,Dodsworth,Sinclair Lewis
actress,\N,"[""Katherine Grant""]",Fury,Sylvia Sidney
actor,\N,"[""Joe Wilson""]",Fury,Spencer Tracy
actor,\N,"[""District Attorney""]",Fury,Walter Abel
director,\N,\N,Fury,Fritz Lang
writer,screen play,\N,Fury,Bartlett Cormack
actor,\N,"[""A Factory Worker""]",Modern Times,Charles Chaplin
actress,\N,"[""A Gamin""]",Modern Times,Paulette Goddard
actor,\N,"[""Cafe Proprietor""]",Modern Times,Henry Bergman
director,director,\N,Modern Times,Charles Chaplin
writer,written by,\N,Modern Times,Charles Chaplin
actor,\N,"[""Longfellow Deeds""]",Mr. Deeds Goes to Town,Gary Cooper
actress,\N,"[""Louise 'Babe' Bennett""]",Mr. Deeds Goes to Town,Jean Arthur
actor,\N,"[""MacWade""]",Mr. Deeds Goes to Town,George Bancroft
director,\N,\N,Mr. Deeds Goes to Town,Frank Capra
writer,screen play,\N,Mr. Deeds Goes to Town,Robert Riskin
actor,\N,"[""Godfrey""]",My Man Godfrey,William Powell
actress,\N,"[""Irene Bullock""]",My Man Godfrey,Carole Lombard
actress,\N,"[""Angelica Bullock""]",My Man Godfrey,Alice Brady
director,\N,\N,My Man Godfrey,Gregory La Cava
writer,screen play,\N,My Man Godfrey,Morrie Ryskind
actor,\N,"[""Alan Squier""]",The Petrified Forest,Leslie Howard
actor,\N,"[""Duke Mantee""]",The Petrified Forest,Humphrey Bogart
actress,\N,"[""Gabrielle Maple""]",The Petrified Forest,Bette Davis
director,director,\N,The Petrified Forest,Archie Mayo
writer,screen play,\N,The Petrified Forest,Charles Kenyon
actor,\N,"[""Lucky Garnett""]",Swing Time,Fred Astaire
actress,\N,"[""Penny Carroll""]",Swing Time,Ginger Rogers
actor,\N,"[""Pop Cardetti""]",Swing Time,Victor Moore
director,\N,\N,Swing Time,George Stevens
writer,screen play,\N,Swing Time,Howard Lindsay
actress,\N,"[""Lucy Warriner""]",The Awful Truth,Irene Dunne
actor,\N,"[""Jerry Warriner""]",The Awful Truth,Cary Grant
actor,\N,"[""Daniel Leeson""]",The Awful Truth,Ralph Bellamy
director,\N,\N,The Awful Truth,Leo McCarey
writer,screen play,\N,The Awful Truth,Viña Delmar
actor,\N,"[""Manuel""]",Captains Courageous,Spencer Tracy
actor,\N,"[""Harvey""]",Captains Courageous,Freddie Bartholomew
actor,\N,"[""Disko""]",Captains Courageous,Lionel Barrymore
director,\N,\N,Captains Courageous,Victor Fleming
writer,novel,\N,Captains Courageous,Rudyard Kipling
actor,\N,"[""Dr. Hugo Z. Hackenbush""]",A Day at the Races,Groucho Marx
actor,\N,"[""Tony""]",A Day at the Races,Chico Marx
actor,\N,"[""Stuffy""]",A Day at the Races,Harpo Marx
director,\N,\N,A Day at the Races,Sam Wood
writer,screen play,\N,A Day at the Races,Robert Pirosh
actor,\N,"[""Le lieutenant Maréchal""]",La grande illusion,Jean Gabin
actress,\N,"[""Elsa""]",La grande illusion,Dita Parlo
actor,\N,"[""Le captaine de Boeldieu""]",La grande illusion,Pierre Fresnay
director,\N,\N,La grande illusion,Jean Renoir
writer,scenario and dialogue,\N,La grande illusion,Charles Spaak
actor,\N,"[""Robert Conway""]",Lost Horizon,Ronald Colman
actress,\N,"[""Sondra""]",Lost Horizon,Jane Wyatt
actor,\N,"[""Lovett""]",Lost Horizon,Edward Everett Horton
director,\N,\N,Lost Horizon,Frank Capra
writer,screenplay,\N,Lost Horizon,Robert Riskin
actor,\N,"[""Barkley Cooper""]",Make Way for Tomorrow,Victor Moore
actress,\N,"[""Lucy Cooper""]",Make Way for Tomorrow,Beulah Bondi
actress,\N,"[""Anita Cooper""]",Make Way for Tomorrow,Fay Bainter
director,\N,\N,Make Way for Tomorrow,Leo McCarey
writer,screen play,\N,Make Way for Tomorrow,Viña Delmar
actress,\N,"[""Ellen Wagstaff Arden""]",My Favorite Wife,Irene Dunne
actor,\N,"[""Nick Arden""]",My Favorite Wife,Cary Grant
actor,\N,"[""Stephen Burkett""]",My Favorite Wife,Randolph Scott
director,\N,\N,My Favorite Wife,Garson Kanin
writer,original story,\N,My Favorite Wife,Bella Spewack
actress,\N,"[""Snow White""]",Snow White and the Seven Dwarfs,Adriana Caselotti
actress,\N,"[""Snow White""]",Snow White and the Seven Dwarfs,Adriana Caselotti
actor,\N,"[""Prince""]",Snow White and the Seven Dwarfs,Harry Stockwell
director,sequence director,\N,Snow White and the Seven Dwarfs,William Cottrell
writer,fairy tales,\N,Snow White and the Seven Dwarfs,Jacob Grimm
actress,\N,"[""Esther Victoria Blodgett - aka Vicki Lester""]",A Star Is Born,Janet Gaynor
actor,\N,"[""Norman Maine""]",A Star Is Born,Fredric March
actor,\N,"[""Oliver Niles""]",A Star Is Born,Adolphe Menjou
director,\N,\N,A Star Is Born,William A. Wellman
writer,screen play,\N,A Star Is Born,Dorothy Parker
actor,\N,"[""Robin Hood""]",The Adventures of Robin Hood,Errol Flynn
