originalTitle,actor,actress,archive_footage,archive_sound,casting_director,cinematographer,composer,director,editor,producer,production_designer,self,writer,isAdult,startYear,runtimeMinutes,genres
'Round Midnight,Dexter Gordon François Cluzet Herbie Hancock Bobby Hutcherson Bobby Hutcherson Pierre Trabaud,Gabrielle Haker Sandra Reaves-Phillips Lonette McKee Christine Pascal Frédérique Meininger,,,Amanda Mackey,Bruno de Keyzer,Herbie Hancock,Bertrand Tavernier,Armand Psenny,Irwin Winkler,Alexandre Trauner,,Francis Paudras Bud Powell David Rayfiel Bertrand Tavernier,0,1986,133,Drama Music
'Thou-Vou' Falakros praktor - Epiheirisis: Gis madiam,Thanasis Vengos Antonis Papadopoulos Vasilis Andreopoulos Zannino Periklis Hristoforidis Dimitris Hatzipavlis Kostas Papahristos Takis Miliadis Giorgos Tzifos,Sassa Kazeli,,,,Pavlos Filippou Dinos Katsouridis Dimitris Papakonstadis,,Thanasis Vengos,Pavlos Filippou Dinos Katsouridis,Thanasis Vengos,,,Napoleon Eleftheriou Giorgos Lazaridis Thanasis Vengos,0,1969,94,Comedy
"'night, Mother",Ed Berke Michael Kenworthy,Sissy Spacek Anne Bancroft Carol Robbins Jennifer Roosendahl Sari Walker Claire Malis,,,Tony Shepherd,Stephen M. Katz,David Shire,Tom Moore,Suzanne Pettit,Alan Greisman Aaron Spelling,Jackson De Govia,,Marsha Norman,0,1986,100,Drama
(500) Days of Summer,Joseph Gordon-Levitt Geoffrey Arend Matthew Gray Gubler Clark Gregg Charles Walker,Zooey Deschanel Chloë Grace Moretz Patricia Belcher Rachel Boston Minka Kelly,,,Eyde Belasco,Eric Steelberg,Mychael Danna Rob Simonsen,Marc Webb,Alan Edward Bell,Mason Novick Jessica Tuchinsky Mark Waters Steven J. Wolfe,Laura Fox,,Scott Neustadter Michael H. Weber,0,2009,95,Comedy Drama Romance
(Dis)Honesty: The Truth About Lies,,,,,,Tom Hurwitz,John Dragonetti,Yael Melamede,Erin Barnett Chad Beck,Dan Ariely Deborah Camiel Yael Melamede Mitch Weitzner,,Dan Ariely,,0,2015,90,Documentary Drama News
... continuavano a chiamarlo Trinità,Terence Hill Bud Spencer Enzo Tarascio Harry Carey Jr. Pupo De Luca Emilio Delle Piane Enzo Fiermonte,Yanti Somer Jessica Dublin Dana Ghia,,,,Aldo Giordani,Guido De Angelis Maurizio De Angelis,Enzo Barboni,Antonio Siciliano,Italo Zingarelli,Enzo Bulgarelli,,Enzo Barboni Gene Luotto,0,1971,117,Comedy Western
...A zori zdes tikhie,Andrey Martynov Aleksey Chernov,Irina Dolganova Elena Drapeko Ekaterina Markova Olga Ostroumova Irina Shevchuk Lyudmila Zaytseva Alla Meshcheryakova Nina Yemelyanova,,,,Vyacheslav Shumskiy,Kirill Molchanov,Stanislav Rostotskiy,Valentina Mironova,,Sergey Serebrenikov,,Stanislav Rostotskiy Boris Vasilev,0,1972,188,Drama History War
...And Justice for All,Al Pacino Jack Warden John Forsythe Lee Strasberg Jeffrey Tambor Sam Levene Robert Christian Thomas G. Waites Larry Bryggman,Christine Lahti,,,Jane Feinberg Mike Fenton,Victor J. Kemper,Dave Grusin,Norman Jewison,John F. Burnett,Norman Jewison Patrick J. Palmer,Richard Macdonald,,Valerie Curtin Barry Levinson,0,1979,119,Crime Drama Thriller
...Yahaan,Jimmy Shergill Yashpal Sharma Mukesh Tiwari Saurabh Dubey Harish Khanna,Minissha Lamba Dolly Ahluwalia Juhi Singh Bajwa Nimrat Kaur Maariayah Khatri,,,Jogi Mallang,Jakob Ihre,Shantanu Moitra Sameeruddin,Shoojit Sircar,Chandrashekhar Prajapati Shekhar,Gary Grewal Robbie Grewal Shailendra Singh Shoojit Sircar,Shubhendu Bhattacharya,,Sameer Kohli Mahesh Piyush Mishra Sabapati,0,2005,142,Drama Romance War
...altrimenti ci arrabbiamo!,Terence Hill Bud Spencer John Sharp Donald Pleasence Manuel de Blas Deogratias Huerta Luis Barbero Emilio Laguna Rafael Albaicín,Patty Shepard,,,,Arturo Zavattini,Guido De Angelis Maurizio De Angelis,Marcello Fondato,Sergio Montanari Alfonso Santacana,Mario Cecchi Gori,Juan Chamizo Franco Vanorio,,Marcello Fondato Francesco Scardamaglia Vicente Coello Jesús R. Folgar,0,1974,102,Action Comedy
...ing,Kim Rae-won Bae Jang-soo In-mun Kim Chang Yun,Lim Soo-jung Lee Mi-sook Yu-jeong Lee Ji-young Oh,,,,Kim Byung-seo,Jun-seok Bang,Lee Eon-hie,Hyeon-mi Lee,Phil-Seon Hwang,Lee Jong-pil,,Jin Kim,0,2003,104,Drama Romance
1,Michael Fassbender,,,,,Paul Lang,Matter Music,Paul Crowder,Paul Crowder,Michael Shevloff Nigel Sinclair,,Lewis Hamilton Niki Lauda Michael Schumacher Mario Andretti Bernie Ecclestone Sebastian Vettel Jackie Stewart Jenson Button Nigel Mansell,Mark Monroe,0,2013,112,Action Documentary History
1 - Nenokkadine,Mahesh Babu Nassar Pradeep Singh Rawat Kelly Dorji Sayaji Shinde Krishna Murali Posani Srinivasa Reddy Ravi Varma,Kriti Sanon Anuradha Hasan,,,,R. Rathnavelu Zeb Walters,Devi Sri Prasad Devi Sri Prasad Devi Sri Prasad,Sukumar,Shiva Saravanan Karthika Srinivas,Gopichand Achanta Ram Achanta Anil Sunkara Zeb Walters,,,Hari Prasad Jakka Arjun Y.K. Thota Srinivas Jeremy Zimmerman,0,2014,170,Action Thriller
1 Kakak 7 Ponakan,Chicco Kurniawan Fatih Unru Nadif H.S. Ringgo Agus Rahman Kiki Narendra,Amanda Rawles Freyanashifa Jayawardana Kawai Labiba Niken Anjani Maudy Koesnaedi,,,Nanda Giri,Dimas Bagus Triatma Yoga,Ofel Obaja Setiawan,Yandy Laurens,Hendra Adhi Susanto,Suryana Paramita Deepak M. Samtani Lachman G. Samtani Manoj Kumar Samtani,Dita Gambiro,,Arswendo Atmowiloto Yandy Laurens,0,2024,129,Drama Family
1 rittoru no namida,Mitsuo Hamada Shûichirô Moriyama Ryô Hayami Yayoi Inamoto,Asae Ônishi Kazuko Katô Kaori Torii Yoshimi Ashikawa Yoneko Matsukane Maki Hamada,,,,Takanobu Nakamura,Riku,Riki Okamura,,Hôsei Ebara Yoshiyuki Goto Fumio Yamamoto,,,Aya Kitô Shioka Kitô Takahiro Tanaka Bunta Yamamoto,0,2005,98,Drama
10 Cloverfield Lane,John Goodman John Gallagher Jr. Douglas M. Griffin Bradley Cooper Frank Mottek,Mary Elizabeth Winstead Suzanne Cryer Sumalee Montano Kayla Bechor,,,Joseph Middleton Monika Mikkelsen,Jeff Cutter,Bear McCreary,Dan Trachtenberg,Stefan Grube,J.J. Abrams Lindsey Weber,Ramsey Avery Amelia Brooke,,Josh Campbell Matt Stuecken Damien Chazelle,0,2016,103,Drama Horror Sci-Fi
10 Days Before the Wedding,Khaled Hamdan Moh'd Nagi Qassem Rashad Bakkar Saleh Hesham Hammadi Qassem Omar Hashem AlSayyed,Sali Hamada Abeer AbdulKareem Ansaf Alawi,,,,Ayman Al-Mekhlafi Aimen Almekhlafi,Salem Fadaak Salem Fadaq Salem Fadaq Amr Gamal,Amr Gamal,Ayman Al-Mekhlafi Aimen Almekhlafi,Mohsen Alkhalifi Amr Gamal,,,Amr Gamal Mazen Refaat,0,2018,120,Comedy Drama Romance
10 Rillington Place,Richard Attenborough John Hurt Ray Barron Douglas Blackwell,Judy Geeson Pat Heywood Isobel Black Miss Riley Phyllis MacMahon Gabrielle Daye,,,,Denys N. Coop,John Dankworth,Richard Fleischer,Ernest Walter,Leslie Linder Martin Ransohoff,,,Clive Exton Ludovic Kennedy,0,1971,111,Biography Crime Drama
10 Things I Hate About You,Heath Ledger Joseph Gordon-Levitt David Krumholtz Andrew Keegan Larry Miller Daryl Mitchell,Julia Stiles Larisa Oleynik Susan May Pratt Gabrielle Union,,,Gail Goldberg Donna Morong Marcia Ross,Mark Irwin,Richard Gibbs,Gil Junger,O. Nicholas Brown,Andrew Lazar,Carol Winstead Wood,,Karen McCullah Kirsten Smith,0,1999,97,Comedy Drama Romance
10 timer til Paradis,Kim Kold David Winters Allan Mogensen Prap Poramabhuti John Winters,Elsebeth Steentoft Lamaiporn Sangmanee Hougaard Sukunya Mongkol Barbara Zatler Sukianya Suwan,,,Aou Thitaya Suthipaet Gro Therp,Laust Trier-Mørk,Sune Martin,Mads Matthiesen,Adam Nielsen,Morten Kjems Hytten Juhl,Thomas Bremer Boontawee Thor Taweepasas,,Mads Matthiesen Martin Zandvliet,0,2012,92,Drama Romance
100 metros,Dani Rovira Karra Elejalde David Verdaguer Bruno Bergonzini Ricardo Pereira Marc Balaguer,Alexandra Jiménez Clara Segura Alba Ribas Manuela Couto,,,Marcel Barrena,Xavi Giménez,Rodrigo Leão,Marcel Barrena,Nacho Ruiz Capillas,Laura Fernández Brites Carlos Fernández Tino Navarro,,,Marcel Barrena,0,2016,108,Biography Comedy Drama
1000 Waala,Amith Sharuk Suman Pilla Prasad,Navita,,,,,,Afzal Shaik,,Sharukh,,,Gouse Khaza,0,2025,129,Action Drama
102 Not Out,Amitabh Bachchan Vijay Raaz Rishi Kapoor Ashok Pathak Jimit Trivedi Dharmendra Gohil Suvrangshu Sarkar Sunil Vishrani Nileash Pandya,Rakhi Mansha,,,Jogi Mallang,Laxman Utekar,Hiral Brahmabhatt George Joseph Salim Merchant Salim Merchant,Umesh Shukla,Bodhaditya Banerjee,Ashutosh Goswami Vivek Krishnani Bhushan Kumar Gulshan Kumar,Mansi Dhruv Mehta,,Saumya Joshi Saumya Joshi Vishal V Patil,0,2018,102,Comedy Drama
11'e 10 Kala,Nejat Isler Mithat Esmer Tayanç Ayaydin Savas Akova Askin Senol Liezer Abrayava,Laçin Ceylan Tülin Özen Selen Uçer Emine Sans Umar,,,Harika Uygur,Özgür Eken,,Pelin Esmer,Ayhan Ergürsel Pelin Esmer Cem Yildirim,Nida Karabol Akdeniz Pelin Esmer Tolga Esmer,,,Pelin Esmer,0,2009,110,Drama
11:14,Henry Thomas Colin Hanks Ben Foster Patrick Swayze Blake Heron Clark Gregg Shawn Hatosy Stark Sands,Barbara Hershey Hilary Swank,,,Felicia Fasano Mary Vernieu,Shane Hurlbut,Clint Mansell,Greg Marcks,Dan Lebental Richard Nord,Beau Flynn John Morrissey,Devorah Herbert,,Greg Marcks,0,2003,86,Comedy Crime Drama
12,Sergey Makovetskiy Sergey Garmash Apti Magamaev Nikita Mikhalkov Valentin Gaft Aleksey Petrenko Yuriy Stoyanov Sergey Gazarov Mikhail Efremov Aleksey Gorbunov,,,,Tamara Odintsova,Vladislav Opelyants,Eduard Artemyev Eduard Artemyev Eduard Artemyev,Nikita Mikhalkov,Enzo Meniconi Andrey Zaytsev,Nikita Mikhalkov Leonid Vereshchagin,Viktor Petrov,,Nikita Mikhalkov Aleksandr Novototskiy-Vlasov Vladimir Moiseenko Reginald Rose,0,2007,159,Crime Drama Thriller
12 Angry Men,Henry Fonda Lee J. Cobb Martin Balsam John Fiedler E.G. Marshall Jack Klugman Edward Binns Jack Warden Joseph Sweeney Ed Begley,,,,,Boris Kaufman,Kenyon Hopkins,Sidney Lumet,Carl Lerner,Henry Fonda Reginald Rose,,,Reginald Rose,0,1957,96,Crime Drama
12 Years a Slave,Chiwetel Ejiofor Michael Kenneth Williams Michael Fassbender Brad Pitt Dwight Henry Dickie Gravois Bryan Batt,Ashley Dyke Kelsey Scott Quvenzhané Wallis,,,Barbara Harris Meagan Lewis Francine Maisler,Sean Bobbitt,Hans Zimmer,Steve McQueen,Joe Walker,Dede Gardner Anthony Katagas Jeremy Kleiner Steve McQueen,Adam Stockhausen,,John Ridley Solomon Northup,0,2013,134,Biography Drama History
12 and Holding,Conor Donovan Conor Donovan Jesse Camacho Jeremy Renner Linus Roache Tom McGowan Michael C. Fuchs,Zoe Weizenbaum Annabella Sciorra Jayne Atkinson Marcia DeBonis,,,Judy Henderson,Romeo Tirone,Pierre Földes Pierre Földes Pierre Földes,Michael Cuesta,Eric Carlson Kane Platt,Brian Bell Jenny Schweitzer Bell Michael Cuesta Leslie Urdang,Lucio Seixas,,Anthony Cipriano,0,2005,94,Drama
12 stulev,Archil Gomiashvili Sergey Filippov Mikhail Pugovkin Georgiy Vitsin,Glikeriya Bogdanova-Chesnokova Natalya Varley Natalya Vorobyova Nina Grebeshkova Nina Grebeshkova Natalya Krachkovskaya Klara Rumyanova,,,,Sergei Poluyanov,Aleksandr Zatsepin,Leonid Gaidai,Klavdiya Aleyeva,,Yevgeni Kumankov,,Ilya Ilf Yevgeni Petrov Vladlen Bakhnov Leonid Gaidai,0,1971,153,Adventure Comedy Crime
120,Burak Sergen Burak Sergen Cansel Elcin Emin Olcay Demir Karahan Ahmet Uz Oytun Öztamur Alican Yilmaz Ozan Cem Dur Deniz Güngören,Özge Özberk,,,,Mustafa Kusçu,Özhan Eren,Özhan Eren Murat Saraçoglu,Ali Üstündag,Özhan Eren,M. Ali Arslan,,Özhan Eren,0,2008,114,Drama History War
120 battements par minute,Nahuel Pérez Biscayart Arnaud Valois Antoine Reinartz Félix Maritaud Ariel Borenstein Simon Bourgade Médhi Touré Simon Guélat,Adèle Haenel Aloïse Sauvage,,,Leila Fournier Sarah Teper Elora Thevenet,Jeanne Lapoirie,Arnaud Rebotini,Robin Campillo,Robin Campillo Stephanie Leger Anita Roth,Hugues Charbonneau Marie-Ange Luciani,Emmanuelle Duplay,,Robin Campillo Philippe Mangeot,0,2017,143,Drama
120db Dhwani,VinayPanigrahi SwathiMandi TrinadhVarmaKalidindi RavindraReddy Dev SureshGanti Srinu SaiKrishna Kumar,Bhavana Sagi,,,,ShashankSriram,Anand Nambiar,NagaDurgaRaoSana Nani Sana,Allauddin,ParamaKrishnaSana SaiSadhanaNannapaneni Nani Sana,Samuel Sujeet Paul,,NagaDurgaRaoSana Nani Sana,0,2022,116,Crime Drama Thriller
127 Hours,James Franco Sean Bott Koleman Stinger Treat Williams John Lawrence Parker Hadley,Amber Tamblyn Kate Mara Kate Burton Bailee Michelle Johnson,,,Donna Isaacson,Enrique Chediak Anthony Dod Mantle,A.R. Rahman,Danny Boyle,Jon Harris,Danny Boyle Christian Colson John Smithson,Suttirat Anne Larlarb,,Danny Boyle Simon Beaufoy Aron Ralston,0,2010,94,Biography Drama
12th Fail,Vikrant Massey Anant Joshi Anshuman Pushkar Harish Khanna Priyanshu Chatterjee Vikas Divyakirti Abhishek Sengupta,Medha Shankr Geeta Agrawal Sharma Sarita Joshi,,,Mukesh Chhabra Aayush Saxena,Rangarajan Ramabadran,Shantanu Moitra,Vidhu Vinod Chopra,Vidhu Vinod Chopra Jaskunwar Kohli,Vidhu Vinod Chopra,Prashant Bidkar,,Vidhu Vinod Chopra Anurag Pathak Aayush Saxena,0,2023,147,Biography Drama
13 Hours: The Secret Soldiers of Benghazi,John Krasinski Pablo Schreiber James Badge Dale David Denman Dominic Fumusa Max Martini David Costabile Payman Maadi Matt Letscher,Alexia Barlier,,,Denise Chamian Edward Said,Dion Beebe,Lorne Balfe,Michael Bay,Michael McCusker Pietro Scalia Calvin Wimmer,Michael Bay Erwin Stoff,Jeffrey Beecroft,,Chuck Hogan Mitchell Zuckoff,0,2016,144,Action Drama History
13 Tzameti,George Babluani Aurélien Recoing Pascal Bongard Fred Ulysse Nicolas Pignon Vania Vilers Christophe Vandevelde Augustin Legrand Jo Prestia,Olga Legrand,,,Stéphane Batut,Tariel Meliava,Arnaud Taillefer,Géla Babluani,Noémie Moreau,Géla Babluani Pascal Caucheteux Jean-Baptiste Legrand Fanny Saadi,Paul D Austerberry Bernard Péault,,Géla Babluani,0,2005,93,Crime Drama Thriller
13B: Fear Has a New Address,Madhavan Sachin Khedekar Ravi Babu Sampath Raj Murli Sharma Amar Upadhyay Deepak Dobriyal,Nitu Chandra Poonam Dhillon Saranya Ponvannan,,,,P.C. Sreeram,Shankar Mahadevan Loy Mendonsa Ehsaan Noorani Shankar-Ehsaan-Loy,Vikram K. Kumar,A. Sreekar Prasad Sreekar Prasad,Suresh Balaje Rajesh Sawhney,,,Abhinav Kashyap Vikram K. Kumar Rajshri Sudhakar,0,2009,146,Horror Mystery Thriller
13th,,,,,,Hans Charles Kira Kelly,Jason Moran,Ava DuVernay,Spencer Averick,Spencer Averick Howard Barish Ava DuVernay,,Melina Abdullah Michelle Alexander Cory Booker Dolores Canales Dolores Canales Gina Clayton Jelani Cobb Malkia Cyril Angela Davis Craig DeRoche Craig DeRoche David Dinkins,Spencer Averick Ava DuVernay,0,2016,100,Crime Documentary History
14,Noel Sean Ram rathan Reddy Mahesh Achanta Vishakha Dhiman Srikanth Iyengar Posani Krishna Murali,Roopa Lakshmi,,,Umesh Kaushik,Sai nadh T,Kalyan Nayak,Lakshmi Srinivas,Janaki Rama Pamaraju,Siva Krishna Nichenametla Subbarao Rayana,,,Lakshmi Srinivas,0,2024,119,Drama
14 Days: Girlfriend Intlo,Ashok Chandra Vennela Kishore Ankith Koyya Rony Raj Sai Satish Prashant Sharma Lakshmi Sujatha,Indraja Shriya Kontham Neha Krishna,,,Karthik Peruru,K Soma Sekhar,Mark K. Robin,Sriharsha Manne,Pradeep R Moram,Satya Komal Nandam,,,Sriharsha Manne,0,2025,90,Comedy
14 Peaks: Nothing Is Impossible,,,,,,Chris Alstrin Nirmal Purja,Nainita Desai,Torquil Jones,Ian Grech,Torquil Jones Drew Masters John McKenna Catherine Quantschnigg,,Nirmal Purja Suchi Purja Klára Kolouchová Reinhold Messner James Barber Geljen Sherpa Geljen Sherpa Mingma Sherpa Mingma Sherpa Lakpa Dendi Gesman Tamang Gesman Tamang Garrett Madison,Gabriel Clarke Gabriel Clarke Torquil Jones,0,2021,101,Adventure Documentary Sport
15 Park Avenue,Rahul Bose Dhritiman Chatterjee Kanwaljeet Singh Gregen McLuskie,Shabana Azmi Konkona Sen Sharma Shefali Shah Yama Shroff Alexandra McLuskie Waheeda Rehman,,,,Hemant Chaturvedi,Jyotishka Dasgupta,Aparna Sen,Rabiranjan Maitra,Bipin Vohra,Bibi Ray,,Aparna Sen,0,2005,116,Drama
1776,William Daniels Howard Da Silva Ken Howard Donald Madden John Cullum Roy Poole David Ford Ron Holgate Ray Middleton William Hansen,,,,Michael Shurtleff,Harry Stradling Jr.,Sherman Edwards,Peter H. Hunt,Florence Williamson William H. Ziegler,Jack L. Warner,George Jenkins,,Peter Stone Sherman Edwards,0,1972,141,Drama Family History
18 Pages,Nikhil Siddharth Raj Tirandasu Ch Chandrakanth Ravi Varma DJ Express Raghuram Sreepada Bhupal Raju Kiran Varanasi Vaibhav Gohil,Anupama Parameswaran,,,,A. Vasanth,Gopi Sundar,Palnati Surya Pratap,Navin Nooli,Bunny Vasu,,,Sukumar Srikanth Vissa,0,2022,135,Romance
180° South,,,,,,Daniel Moder,Isaac Brock Mason Jennings Clay Jones Eric Judy,Chris Malloy,Conor O'Neill Tim Wheeler,Tim Lynch Emmett Malloy Rick Ridgeway,,Yvon Chouinard Doug Tompkins Keith Malloy Alicia Salome Acuna Ika Timmy O'Neill Tom Frost Jeff Johnson David McGuire Alejandro Navarro Harrieta Ramon Navarro,Jeff Johnson Chris Malloy Rick Ridgeway Zachary Slobig,0,2010,85,Documentary Drama Sport
1917,Dean-Charles Chapman George MacKay Daniel Mays Colin Firth Pip Carter Andy Apollo Paul Tinto Josef Davies Billy Postlethwaite Gabriel Akuwudike,,,,Nina Gold,Roger Deakins,Thomas Newman,Sam Mendes,Lee Smith,Pippa Harris Callum McDougall Sam Mendes Brian Oliver,Dennis Gassner,,Sam Mendes Krysty Wilson-Cairns,0,2019,119,Action Drama War
1942: A Love Story,Anil Kapoor Jackie Shroff Anupam Kher Danny Denzongpa Pran Sikand Raghubir Yadav Manohar Singh,Manisha Koirala Chandni Sushma Seth,,,,Binod Pradhan,Rahul Dev Burman Babloo Chakravorty Manohari Singh,Vidhu Vinod Chopra,Renu Saluja,Vidhu Vinod Chopra,,,Sanjay Leela Bhansali Kamna Chandra Vidhu Vinod Chopra Shivkumar Subramaniam,0,1994,157,Action Drama History
1945,Péter Rudolf Péter Rudolf Bence Tasnádi Tamás Szabó Kimmel József Szarvas Angelus Iván Marcell Nagy Marcell Nagy István Znamenák István Znamenák,Dóra Sztarenki Ági Szirtes Ági Szirtes Eszter Nagy-Kálózy Eszter Nagy-Kálózy,,,Gábor Fischer,Elemér Ragályi,Tibor Szemzö,Ferenc Török,Béla Barsi,Iván Angelusz Péter Reich Ferenc Török,László Rajk,,Gábor T. Szántó Ferenc Török,0,2017,91,Drama
1968,Ieroklis Michaelidis Antonis Kafetzopoulos Stelios Mainas Manolis Mavromatakis Giorgos Mitsikostas Giannis Vouros Christos Dimas Orfeas Avgoustidis Themis Panou,Vasiliki Troufakou,,,Sofia Dimopoulou Fragiskos Xydianos,Yiannis Daskalothanasis Nikos Pastras Morten Vilhelm,Evanthia Reboutsika,Tassos Boulmetis,Lambis Haralambidis,Makis Angelopoulos Giorgos Kyriakos Kostas Lambropoulos,Athenaia Spiliotakos,,Tassos Boulmetis,0,2018,93,History Sport
1971,Manoj Bajpayee Ravi Kishan Deepak Dobriyal Kumud Mishra Manav Kaul Chittaranjan Giri Piyush Mishra Gyan Prakash Satyajit Sharma,Farida Dadi,,,Gautam Kishanchandani Piyush Mishra Amrit Sagar Honey Trehan,Das Chirantan,Akash Sagar Chopra,Amrit Sagar,Shyam Salgaonkar,Amrit Sagar Moti Sagar,Mukesh Kalola Amrit Sagar,,Piyush Mishra,0,2007,136,Action Drama War
1980 Lo Radhekrishna,SS Saidulu SS Shiva Fish Vinod B.Manohar Shoban Babhu Local Naga,Bramarambika Tutika Aarpita Lohi Anitha,,,,Iliyaz Pasha,,Ismail Shaik,SS Saidulu,Voodugu Sudhakar,,,Rajesh Macharla Ismail Shaik,0,2024,\N,Action Drama Romance
1981,Jean-Carl Boucher Claudio Colangelo Gabriel Maillé Dany Bouchard Léo Caron Claude-Michel Bleau,Sandrine Bisson Élizabeth Adam Rose Adam Marjolaine Lemieux,,,Catherine Didelot,Steve Asselin,Frédéric Bégin,Ricardo Trogi,Yvann Thibaudeau,Nicole Robert,Patrice Vermette,,Ricardo Trogi,0,2009,102,Comedy Drama Family
1983,Nivin Pauly Anoop Menon Joy Mathew Saiju Kurup Sanju Sivram Dinesh Prabhakar Prajod Kalabhavan Neeraj Madhav,Nikki Galrani Srinda,,,,Pradeesh Varma,Gopi Sundar Gopi Sundar Gopi Sunder,Abrid Shine,Manoj Manoj,Lal Jose T.R. Shamsudheen,,,Abrid Shine Bipin Chandran Bipin Chandran Bipin Chandran Abrid Shine,0,2014,138,Drama Sport
1985,Cory Michael Smith Michael Chiklis Aidan Langford Ryan Piers Williams Michael Darby Bryan Massey Bill Heck,Virginia Madsen Jamie Chung Tina Parker,,,,Hutch Crane,Curtis Heath,Yen Tan,Hutch Crane Yen Tan,Ash Christian Hutch Crane,Brittany Ingram,,Hutch Crane Yen Tan,0,2018,85,Drama
1987,Jean-Carl Boucher Claudio Colangelo Laurent-Christophe De Ruelle Pier-Luc Funk Simon Pigeon JP Bergeron Martin Laroche Park Hee-soon Sul Kyung-gu Ha Jung-woo Oh Dal-su Gang Dong-won Yeo Jin-goo Kim Yoon-seok Kim Eui-sung Hyun Bong-sik,Sandrine Bisson Éléonore Lamothe Alyssa Labelle Kim Tae-ri,,,Catherine Didelot Su Kim,Steve Asselin Woo-hyung Kim,Frédéric Bégin Kim Tae-seong,Ricardo Trogi Jang Joon-hwan,Yvann Thibaudeau Jinmo Yang,Nicole Robert Young-hwan Jang Jeong Won-Chan Jung Won-Chan Jang Young-Hwan,Patrice Vermette Han A-Reum Han Ah-rum,,Ricardo Trogi Kim Kyung Chan Jang Joon-Hwan Kyung-chan Kim Kim Kyung-Chan,0,2014,105,Biography Comedy Drama
